0.927 , 12.704 , 56.508
0.979 , 13.046 , 58.029
1.032 , 13.557 , 60.303
1.083 , 13.420 , 59.693
1.135 , 12.589 , 55.995
1.187 , 10.607 , 47.182
1.239 , 7.275 , 32.359
1.288 , 4.910 , 21.842
1.338 , 3.224 , 14.339
1.388 , 2.340 , 10.408
1.437 , 1.745 , 7.763
1.484 , 1.295 , 5.759
1.532 , 1.247 , 5.548
1.581 , 2.114 , 9.402
1.630 , 3.985 , 17.727
1.679 , 7.607 , 33.838
1.729 , 11.197 , 49.803
1.781 , 14.129 , 62.845
1.833 , 15.668 , 69.691
1.885 , 15.797 , 70.264
1.937 , 15.214 , 67.672
1.989 , 14.179 , 63.068
2.041 , 12.450 , 55.377
2.093 , 11.110 , 49.418
2.145 , 10.404 , 46.278
2.197 , 10.347 , 46.025
2.249 , 11.235 , 49.973
2.301 , 11.569 , 51.458
2.353 , 12.019 , 53.461
2.405 , 12.546 , 55.803
2.457 , 13.012 , 57.878
2.509 , 13.134 , 58.422
2.562 , 13.433 , 59.749
2.613 , 13.896 , 61.807
2.665 , 13.742 , 61.124
2.717 , 13.353 , 59.392
2.769 , 13.317 , 59.235
2.821 , 12.964 , 57.663
2.873 , 12.143 , 54.010
2.925 , 11.495 , 51.130
2.977 , 11.258 , 50.076
3.030 , 11.042 , 49.113
3.081 , 10.643 , 47.341
3.133 , 10.362 , 46.088
3.185 , 10.110 , 44.969
3.237 , 10.153 , 45.161
3.289 , 10.176 , 45.261
3.341 , 9.960 , 44.301
3.391 , 9.849 , 43.810
3.441 , 9.829 , 43.721
3.490 , 9.389 , 41.763
3.540 , 9.042 , 40.218
3.591 , 8.667 , 38.552